Player,Winning Hand
Patrick Stewart,FLUSH
Rita Repulsa,STRAIGHT
He Man,THREE OF A KIND
TJ Hooker,ACE HIGH
Patrick Stewart,FLUSH
Rita Repulsa,STRAIGHT
He Man,FLUSH
TJ Hooker,ACE HIGH
Patrick Stewart,PAIR
Rita Repulsa,PAIR
He Man,ACE HIGH
TJ Hooker,STRAIGHT
Patrick Stewart,PAIR
Rita Repulsa,STRAIGHT
He Man,TWO OF A KIND
TJ Hooker,ACE HIGH
Patrick Stewart,KING HIGH
Rita Repulsa,TWO PAIR
He Man,PAIR
TJ Hooker,PAIR
Patrick Stewart,FLUSH
Rita Repulsa,ROYAL FLUSH
He Man,QUEEN HIGH
TJ Hooker,THREE OF A KIND
Patrick Stewart,PAIR
Rita Repulsa,STRAIGHT
He Man,THREE OF A KIND
TJ Hooker,FLUSH
Patrick Stewart,STRAIGHT
Rita Repulsa,TWO PAIR
He Man,TWO PAIR
TJ Hooker,TWO PAIR
Patrick Stewart,STRAIGHT
Rita Repulsa,FLUSH
He Man,TWO PAIR
TJ Hooker,FOUR OF A KIND
Patrick Stewart,PAIR
Rita Repulsa,PAIR
He Man,QUEEN HIGH
TJ Hooker,FLUSH
Patrick Stewart,STRAIGHT
Rita Repulsa,FLUSH
He Man,TWO PAIR
TJ Hooker,TWO PAIR
